Company Name,Ticker,2018 Return,Capitalization,Index Weight,Adj Close 2018,Adj Close 2019,2019 Return
ARAMARK,ARMK,-0.3149205,7166743.28,0.0288263369049948,19.351213455200195,29.353553771972656,0.5168843979696043
EL POLLO LOCO HOLDINGS INC,LOCO,0.5323233,592646.39,0.0023837639826368,13.138303756713867,13.112321853637695,-0.0019775690650244426
WAYFAIR INC,W,0.1222126,5567304.43,0.0223930154718546,90.08000183105469,90.37000274658203,0.003219370666435406
SHAKE SHACK INC,SHAK,0.0513888,1334030.77,0.0053657873479248,45.41999816894531,59.56999969482422,0.311536814097751
J ALEXANDERS HOLDINGS INC,JAX,-0.1515464,120939.84,0.0004864486471568,,,
STAFFING 360 SOLUTIONS INC,STAF,-0.5142857,7672.95,3.0862420085902665e-05,889.8700561523438,480.1790466308594,-0.4603941965335062
BIGLARI HOLDINGS INC,BH,-0.4507757,121647.69,0.0004892957873125,113.58000183105469,114.41999816894531,0.0073956358896707375
VIAD CORP,VVI,-0.0890654,1018880.69,0.0040981791712697,,,
WENDYS CO,WEN,-0.0300175,3720143.9,0.0149632988383618,12.77236270904541,18.563037872314453,0.4533754086992907
BRINKER INTERNATIONAL INC,EAT,0.1728178,1697627.98,0.006828261342553,41.93275451660156,41.548004150390625,-0.009175413603192073
BIGLARI HOLDINGS INC,BH,-0.5762342,234997.02,0.0009452136075662,113.58000183105469,114.41999816894531,0.0073956358896707375
CRACKER BARREL OLD COUNTRY STORE,CBRL,0.063468,3842075.25,0.0154537355732996,123.63435363769531,124.77448272705078,0.009221782262044842
MCDONALDS CORP,MCD,0.0579381,136890494.35,0.5506059523907474,153.54571533203125,174.99830627441406,0.13971468299192313
VALHI INC NEW,VHI,-0.6796494,654627.03,0.0026330647794455,20.2532958984375,20.326208114624023,0.0036000173281498515
MARRIOTT CORP,MHS,-0.1220396,12370173.6,0.0497557646249151,,,
MARCUS CORP,MRCS,0.4688381,789486.5,0.0031755014714222,,,
FLANIGANS ENTERPRISES INC,BDL,0.1222959,47646.17,0.0001916441673703,23.39209747314453,20.24834632873535,-0.13439372625812573
LUBYS INC,LUB,-0.5454545,35596.8,0.0001431787507169,,,
GOOD TIMES RESTAURANTS INC,GTIM,-0.0566038,31202.5,0.0001255038365596,2.5,1.590000033378601,-0.3639999866485596
DINE BRANDS GLOBAL INC,DIN,0.374672,1192726.02,0.0047974262150316,53.63241958618164,68.7578125,0.2820195887212109
JACK IN THE BOX INC,JACK,-0.1934341,1998429.02,0.008038154285783,67.34265899658203,69.02455139160156,0.024975140870289847
RAVE RESTAURANT GROUP INC,RAVE,-0.4002051,13224.8,5.319327418425058e-05,0.8799999952316284,1.649999976158142,0.8749999830668622
DARDEN RESTAURANTS INC,DRI,0.0687915,12393624.68,0.0498500904164853,83.86060333251953,94.16768646240234,0.12290733336384108
YUM BRANDS INC,YUM,0.145485,28706799.27,0.1154655378169314,81.98811340332031,91.34663391113281,0.11414484514085066
ARK RESTAURANTS CORP,RK,-0.289815,63801.0,0.0002566227153703,,,
RED ROBIN GOURMET BURGERS INC,RRGB,-0.5262412,346772.15,0.0013947996230122,26.719999313354492,33.02000045776367,0.23577849200244838
DOMINOS PIZZA INC,DPZ,0.3234365,10315144.28,0.0414899505426277,231.27987670898438,276.6797180175781,0.19629827702528413
TEXAS ROADHOUSE INC,TXRH,0.151428,4271535.05,0.0171811244859874,53.86155319213867,51.91334533691406,-0.03617065865655278
KONA GRILL INC,KONA,-0.4,13923.0,5.600159975707163e-05,,,
RUTHS HOSPITALITY GROUP INC,RUTH,0.0675368,700288.56,0.0028167262552306,,,
CHIPOTLE MEXICAN GRILL INC,CMG,0.493928,11998148.97,0.0482593935533765,8.6358003616333,16.74220085144043,0.9386970692168657
CARROLS RESTAURANT GROUP INC,TAST,-0.1901234,359543.77,0.0014461701000279,,,
